logE J J_low J_up
18.45 1.9383E-18 1.931615E-18 1.9450081E-18
18.55 9.0759E-19 9.034487E-19 9.117503E-19
18.65 4.3096E-19 4.284283E-19 4.335067E-19
18.75 2.1642E-19 2.148088E-19 2.180433E-19
18.85 1.2266E-19 1.215661E-19 1.237637E-19
18.95 6.8517E-20 6.77871E-20 6.925474E-20
19.05 3.7956E-20 3.747071E-20 3.844755E-20
19.15 2.0554E-20 2.02352E-20 2.08778E-20
19.25 1.0352E-20 1.015087E-20 1.055709E-20
19.35 5.3306E-21 5.20169E-21 5.46268E-21
19.45 2.4919E-21 2.413185E-21 2.57315E-21
19.55 1.2518E-21 1.201971E-21 1.30366E-21
19.65 5.9825E-22 5.67412E-22 6.30726E-22
19.75 1.9336E-22 1.77977E-22 2.10023E-22
19.85 8.1022E-23 7.21922E-23 9.08742E-23
19.95 1.8608E-23 1.48544E-23 2.32102E-23
20.05 5.5429E-24 3.7379E-24 8.0614E-24
20.15 2.9353E-24 1.7757E-24 4.6796E-24
