Index minlgE maxlgE meanlgE nEntries xMin xMax  Bin_0  Bin_1  Bin_2  Bin_3  Bin_4  Bin_5  Bin_6  Bin_7  Bin_8  Bin_9  Bin_10  Bin_11  Bin_12  Bin_13  Bin_14  Bin_15  Bin_16  Bin_17  Bin_18  Bin_19  Bin_20  Bin_21  Bin_22  Bin_23  Bin_24  Bin_25  Bin_26  Bin_27  Bin_28  Bin_29  Bin_30  Bin_31  Bin_32  Bin_33  Bin_34  Bin_35  Bin_36  Bin_37  Bin_38  Bin_39  Bin_40  Bin_41  Bin_42  Bin_43  Bin_44  Bin_45  Bin_46  Bin_47  Bin_48  Bin_49  Bin_50  Bin_51  Bin_52  Bin_53  Bin_54  Bin_55  Bin_56  Bin_57  Bin_58  Bin_59  Bin_60  Bin_61  Bin_62  Bin_63  Bin_64  Bin_65  Bin_66  Bin_67  Bin_68  Bin_69  Bin_70  Bin_71  Bin_72  Bin_73  Bin_74  Bin_75  Bin_76  Bin_77  Bin_78  Bin_79  Bin_80  Bin_81  Bin_82  Bin_83  Bin_84  Bin_85  Bin_86  Bin_87  Bin_88  Bin_89  Bin_90  Bin_91  Bin_92  Bin_93  Bin_94  Bin_95  Bin_96  Bin_97  Bin_98  Bin_99  
 6 17.8 17.9 17.8498 4567 480 1080 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 32 105 258 496 677 681 623 475 369 291 174 124 83 76 37 27 10 8 4 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 7 17.9 18 17.9491 4009 460 1080 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 8 18 39 137 335 570 632 568 473 373 257 176 140 91 76 48 30 13 7 5 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 8 18 18.1 18.0476 3330 480 1120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 28 77 216 397 515 530 424 297 276 192 118 92 57 38 25 18 11 3 4 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 9 18.1 18.2 18.1476 3408 520 1180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 7 68 139 329 501 518 505 360 291 200 158 135 80 46 32 12 10 6 3 2 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 10 18.2 18.3 18.2474 2711 500 1100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 7 22 106 191 336 421 411 332 281 203 130 92 60 34 31 25 5 11 2 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 11 18.3 18.4 18.347 2082 540 1100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 14 35 122 231 347 322 290 230 146 121 76 59 32 19 9 14 3 3 4 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 12 18.4 18.5 18.4473 1600 560 1080 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 21 57 144 245 282 235 179 145 103 68 41 33 19 6 5 7 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 13 18.5 18.6 18.5464 1098 540 1100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 5 23 107 148 203 205 126 90 61 47 32 18 13 8 1 1 4 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 14 18.6 18.7 18.6471 834 560 1100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 11 56 112 166 143 110 82 61 25 21 14 14 4 5 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 15 18.7 18.8 18.7473 578 600 1020 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 34 79 109 104 94 56 41 22 11 10 4 1 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 16 18.8 18.9 18.8452 469 580 1020 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 11 55 74 104 90 51 38 17 8 7 6 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 17 18.9 19 18.9485 356 620 1140 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 30 56 87 64 43 32 19 6 2 0 2 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 18 19 19.1 19.0468 281 620 1020 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 21 43 61 64 38 20 14 4 4 3 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
 19 19.1 19.2 19.1465 191 620 1040 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 26 53 48 28 14 8 4 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
