lgE fH fHe fN fSi fFe nan nan nan nan nan Dev nan nan nan
17.2564 0.823975 0.0549316 0.0585938 0 0.0625 0.46611 0.270302 0.287687 0 0.306186 0 286.741 0 22 
17.3544 0.823975 0.0549316 0.0585938 0 0.0625 0.46611 0.270302 0.287687 0 0.306186 0 303.459 0 24 
17.451 0.823975 0.0549316 0.0585938 0 0.0625 0.46611 0.270302 0.287687 0 0.306186 0 475.932 0 23 
17.5507 0.823975 0.0549316 0.0585938 0 0.0625 0.46611 0.270302 0.287687 0 0.306186 0 488.175 0 23 
17.6486 0.823975 0.0549316 0.0585938 0 0.0625 0.46611 0.270302 0.287687 0 0.306186 0 463.084 0 26 
17.7493 0.823975 0.0549316 0.0585938 0 0.0625 0.46611 0.270302 0.287687 0 0.306186 0 324.635 0 25 
17.849 0.517149 0.0884688 0.373306 0 0.021076 0.0439066 0.0814525 0.0514582 0 0.012305 42.6452 33.5751 23 23 
17.9487 0.567834 0.0802414 0.333987 0 0.0179381 0.0456252 0.0826198 0.049258 0 0.0101603 63.1602 33.54 25 22 
18.0475 0.588339 0.0755298 0.329331 0 0.00679984 0.0501962 0.0900382 0.0531974 0 0.0107923 30.7374 34.5056 26 20 
18.1476 0.657255 0.0297536 0.312991 0 7.15047e-08 0.0468591 0.0767125 0.0360646 0 4.13535e-05 35.51 0 24 0 
18.2478 0.589174 0.223422 0.151715 0 0.0356886 0.0545576 0.0971142 0.0584675 0 0.0131862 32.6202 0 24 0 
18.347 0.573562 0.209306 0.217132 0 1.76705e-07 0.0589069 0.116282 0.0690209 0 2.76407e-05 23.7322 0 22 0 
18.447 0.526291 0.325043 0.148665 0 2.65781e-07 0.0622814 0.100469 0.0470015 0 0.000105244 15.83 0 20 0 
18.5466 0.384927 0.456209 0.158864 0 9.65427e-08 0.0665877 0.111449 0.0561775 0 5.75931e-05 32.6412 0 22 0 
18.6471 0.345195 0.467176 0.187629 0 1.41981e-07 0.0742106 0.137949 0.0791322 0 2.07215e-05 31.83 0 19 0 
18.7471 0.152725 0.637268 0.210007 0 3.57453e-08 0.0759025 0.135266 0.0745408 0 3.05588e-05 10.9962 0 15 0 
18.8454 0.0608761 0.840937 0.0981871 0 3.1725e-08 0.0725004 0.135599 0.0799422 0 8.14744e-06 14.5714 0 16 0 
18.9483 0.088671 0.661457 0.249872 0 4.39559e-08 0.060094 0.123166 0.0849134 0 3.32655e-05 31.3804 0 15 0 
19.0448 0.111462 0.563134 0.325404 0 8.03454e-09 0.0867689 0.171492 0.106959 0 2.34823e-06 18.1003 0 13 0 
19.1465 0.0118866 0.560994 0.427119 0 3.76165e-07 0.0598783 0.105712 0.123673 0 9.96791e-05 26.3299 0 12 0 
19.2441 0.157561 0.280145 0.562294 0 2.54916e-08 0.13951 0.278835 0.167887 0 3.04598e-05 11.6775 0 12 0 
19.3456 0.00293605 0.502101 0.494963 0 8.16264e-08 0.0812545 0.209618 0.156235 0 5.64777e-05 24.9065 0 9 0 
19.4483 0.0928951 0.398144 0.434208 0 0.0747528 0.273283 0.54145 0.417582 0 0.150095 16.8129 0 9 0 
19.6361 3.79597e-09 0.00790077 0.992099 0 1.67496e-08 5.48532e-05 0.112122 0.112122 0 9.04859e-06 3.30145 0 8 0 
