meanlgE proton_eposlhc proton_eposlhc_staterr_dn proton_eposlhc_staterr_up proton_eposlhc_syserr_dn proton_eposlhc_syserr_up helium_eposlhc helium_eposlhc_staterr_dn helium_eposlhc_staterr_up helium_eposlhc_syserr_dn helium_eposlhc_syserr_up nitrogen_eposlhc nitrogen_eposlhc_staterr_dn nitrogen_eposlhc_staterr_up nitrogen_eposlhc_syserr_dn nitrogen_eposlhc_syserr_up iron_eposlhc iron_eposlhc_staterr_dn iron_eposlhc_staterr_up iron_eposlhc_syserr_dn iron_eposlhc_syserr_up proton_sib23 proton_sib23_staterr_dn proton_sib23_staterr_up proton_sib23_syserr_dn proton_sib23_syserr_up helium_sib23 helium_sib23_staterr_dn helium_sib23_staterr_up helium_sib23_syserr_dn helium_sib23_syserr_up nitrogen_sib23 nitrogen_sib23_staterr_dn nitrogen_sib23_staterr_up nitrogen_sib23_syserr_dn nitrogen_sib23_syserr_up iron_sib23 iron_sib23_staterr_dn iron_sib23_staterr_up iron_sib23_syserr_dn iron_sib23_syserr_up


17.85 0.518494 0.022782 0.025898 0.107074 0.086276 0.141817 0.04227 0.038959 0.011767 0.026443 0.264911 0.02441 0.024115 0.068071 0.024789 0.074778 0.006874 0.006883 0.041688 0.095372 0.309727 0.022728 0.022002 0.054647 0.034433 0.362947 0.04404 0.041846 0.107107 0.131113 0.291036 0.031465 0.029191 0.144266 0.083404 0.03629 0.008073 0.008615 0.02128 0.08124
17.949 0.597326 0.025003 0.018431 0.109266 0.067994 0.04594 0.032233 0.038436 0.01612 0.06395 0.300608 0.027031 0.017728 0.103998 0.034552 0.056126 0.005909 0.007831 0.028146 0.089944 0.386644 0.026403 0.0236 0.036174 0.017416 0.26664 0.044867 0.047221 0.15513 0.17036 0.325399 0.031379 0.028891 0.180719 0.127901 0.021317 0.007163 0.007949 0.007107 0.063283
18.048 0.629252 0.026436 0.025116 0.122312 0.095698 0.063633 0.040697 0.042343 0.009993 0.018507 0.246147 0.027504 0.022689 0.065257 0.028223 0.060968 0.006783 0.008512 0.034228 0.087572 0.430915 0.030525 0.023661 0.072035 0.043335 0.224397 0.038572 0.057295 0.077037 0.114543 0.334446 0.037068 0.023728 0.147636 0.078974 0.010243 0.00755 0.007692 0.010243 0.071857
18.147 0.672021 0.029246 0.03112 0.115071 0.090939 0.074373 0.047705 0.049789 0.036843 0.038867 0.216319 0.031233 0.02524 0.107469 0.081301 0.037287 0.006628 0.008436 0.017267 0.062493 0.423061 0.033169 0.028963 0.052631 0.054849 0.334732 0.04827 0.059986 0.148602 0.104088 0.231021 0.039485 0.026886 0.153011 0.159509 0.011185 0.007102 0.008299 0.004355 0.040774
18.248 0.664341 0.035002 0.038819 0.124531 0.099699 0.113293 0.060008 0.061699 0.017023 0.015077 0.190863 0.038618 0.030293 0.098513 0.072077 0.031502 0.007451 0.00957 0.016032 0.059058 0.42697 0.039436 0.026326 0.05733 0.05771 0.365035 0.041472 0.07272 0.145435 0.099375 0.199671 0.04788 0.022268 0.156351 0.168869 0.008325 0.006133 0.008938 0.003005 0.033405
18.347 0.593559 0.046634 0.038747 0.110059 0.113071 0.275627 0.0616 0.079722 0.050407 0.025213 0.094399 0.048964 0.032205 0.094399 0.117881 0.036415 0.00813 0.010872 0.010895 0.041305 0.361125 0.045654 0.030882 0.057455 0.105565 0.525376 0.046407 0.0864 0.146986 0.055764 0.093179 0.059396 0.026094 0.093179 0.180371 0.020319 0.008082 0.012591 0.007939 0.024071
18.447 0.682849 0.06012 0.037463 0.116849 0.092381 0.120521 0.048718 0.10446 0.046421 0.046619 0.19566 0.062104 0.012152 0.13358 0.10815 0.000971 0.000971 0.009736 0.000971 0.039119 0.387356 0.053072 0.029586 0.029386 0.076384 0.473993 0.033553 0.101131 0.218213 0.078007 0.138566 0.061269 0.010418 0.138566 0.240964 8.5E-05 8.4E-05 0.007844 8.5E-05 0.005955
18.547 0.486405 0.061225 0.04667 0.077245 0.074415 0.34716 0.065239 0.112082 0.10611 0.0787 0.155244 0.069002 0.03055 0.149304 0.139776 0.01119 0.007892 0.012724 0.00647 0.0386 0.234647 0.060848 0.03041 0.008547 0.053783 0.60804 0.034531 0.119945 0.23625 0.11226 0.157256 0.082969 0.005417 0.157256 0.232624 5.7E-05 5.7E-05 0.012799 5.7E-05 0.010893
