   <lgE>       <lnA>       V(lnA)    stat(lnA)   stat(VlnA)  sysLowLnA   sysUplnA    sysLowVlnA  sysUpVlnA
   1.785e+01   1.183e+00   1.742e+00   2.965e-02   1.379e-01   3.370e-01   4.270e-01   5.701e-01   6.351e-01
   1.795e+01   1.076e+00   1.824e+00   3.374e-02   1.577e-01   3.327e-01   4.276e-01   5.875e-01   6.686e-01
   1.805e+01   9.438e-01   1.889e+00   3.587e-02   1.993e-01   3.284e-01   4.270e-01   6.110e-01   7.086e-01
   1.815e+01   8.079e-01   1.586e+00   4.002e-02   2.008e-01   3.244e-01   4.248e-01   6.309e-01   7.423e-01
   1.825e+01   7.887e-01   1.355e+00   4.421e-02   2.199e-01   3.211e-01   4.209e-01   6.327e-01   7.500e-01
   1.835e+01   7.570e-01   1.117e+00   5.044e-02   2.263e-01   3.170e-01   4.142e-01   6.125e-01   7.213e-01
   1.845e+01   7.036e-01   8.453e-01   6.282e-02   2.816e-01   3.139e-01   4.054e-01   5.998e-01   6.986e-01
   1.855e+01   8.783e-01   8.550e-01   6.105e-02   2.646e-01   3.121e-01   3.953e-01   5.582e-01   6.358e-01
   1.865e+01   8.761e-01   1.487e+00   7.561e-02   3.752e-01   3.111e-01   3.839e-01   5.575e-01   6.196e-01
   1.875e+01   1.173e+00   4.556e-01   6.977e-02   2.716e-01   3.114e-01   3.726e-01   4.907e-01   5.272e-01
   1.885e+01   1.250e+00   3.446e-01   7.420e-02   2.694e-01   3.123e-01   3.615e-01   4.744e-01   4.936e-01
   1.895e+01   1.362e+00  -1.578e-01   7.867e-02   2.570e-01   3.139e-01   3.514e-01   4.502e-01   4.530e-01
   1.905e+01   1.394e+00   3.552e-01   9.771e-02   3.439e-01   3.158e-01   3.434e-01   4.523e-01   4.428e-01
   1.915e+01   1.690e+00  -2.286e-01   9.187e-02   2.501e-01   3.184e-01   3.374e-01   4.005e-01   3.784e-01
   1.925e+01   1.633e+00   5.527e-01   1.384e-01   5.275e-01   3.209e-01   3.330e-01   4.227e-01   3.936e-01
   1.935e+01   1.907e+00   1.258e-01   1.348e-01   4.122e-01   3.239e-01   3.308e-01   3.776e-01   3.422e-01
   1.944e+01   2.138e+00   5.630e-01   1.819e-01   5.349e-01   3.271e-01   3.299e-01   3.516e-01   3.125e-01
   1.955e+01   1.887e+00   3.834e-01   2.167e-01   7.060e-01   3.298e-01   3.298e-01   3.959e-01   3.540e-01
   1.971e+01   2.620e+00   3.008e-01   1.841e-01   3.318e-01   3.359e-01   3.327e-01   2.843e-01   2.424e-01
