#    <lgE>       <lnA>       V(lnA)    stat(lnA)   stat(VlnA)  sysLowLnA   sysUplnA    sysLowVlnA  sysUpVlnA
   1.785e+01   6.778e-01   5.311e-01   3.098e-02   1.554e-01   3.488e-01   4.440e-01   7.063e-01   8.109e-01
   1.795e+01   5.542e-01   5.407e-01   3.514e-02   1.768e-01   3.433e-01   4.433e-01   7.215e-01   8.446e-01
   1.805e+01   4.051e-01   5.244e-01   3.725e-02   2.210e-01   3.378e-01   4.413e-01   7.425e-01   8.837e-01
   1.815e+01   2.530e-01   1.082e-01   4.142e-02   2.221e-01   3.326e-01   4.378e-01   7.603e-01   9.160e-01
   1.825e+01   2.220e-01  -1.897e-01   4.561e-02   2.419e-01   3.281e-01   4.323e-01   7.591e-01   9.194e-01
   1.835e+01   1.785e-01  -4.923e-01   5.188e-02   2.488e-01   3.228e-01   4.240e-01   7.362e-01   8.870e-01
   1.845e+01   1.126e-01  -8.326e-01   6.440e-02   3.080e-01   3.186e-01   4.136e-01   7.213e-01   8.596e-01
   1.855e+01   2.804e-01  -7.943e-01   6.238e-02   2.880e-01   3.155e-01   4.017e-01   6.768e-01   7.901e-01
   1.865e+01   2.667e-01  -1.547e-01   7.702e-02   4.037e-01   3.134e-01   3.887e-01   6.722e-01   7.657e-01
   1.875e+01   5.571e-01  -1.163e+00   7.084e-02   2.938e-01   3.124e-01   3.757e-01   6.066e-01   6.691e-01
   1.885e+01   6.221e-01  -1.271e+00   7.509e-02   2.911e-01   3.122e-01   3.631e-01   5.891e-01   6.294e-01
   1.895e+01   7.221e-01  -1.769e+00   7.934e-02   2.782e-01   3.126e-01   3.515e-01   5.650e-01   5.843e-01
   1.905e+01   7.414e-01  -1.239e+00   9.823e-02   3.681e-01   3.134e-01   3.422e-01   5.640e-01   5.672e-01
   1.915e+01   1.025e+00  -1.749e+00   9.205e-02   2.717e-01   3.147e-01   3.348e-01   5.143e-01   5.019e-01
   1.925e+01   9.535e-01  -9.769e-01   1.382e-01   5.554e-01   3.161e-01   3.292e-01   5.316e-01   5.096e-01
   1.935e+01   1.212e+00  -1.326e+00   1.342e-01   4.376e-01   3.178e-01   3.256e-01   4.886e-01   4.587e-01
   1.944e+01   1.427e+00  -8.079e-01   1.805e-01   5.659e-01   3.196e-01   3.234e-01   4.616e-01   4.268e-01
   1.955e+01   1.162e+00  -1.084e+00   2.143e-01   7.392e-01   3.215e-01   3.223e-01   5.007e-01   4.622e-01
   1.971e+01   1.858e+00  -9.153e-01   1.809e-01   3.648e-01   3.248e-01   3.227e-01   3.972e-01   3.573e-01
