#    <lgE>       <lnA>       V(lnA)    stat(lnA)   stat(VlnA)  sysLowLnA   sysUplnA    sysLowVlnA  sysUpVlnA
   1.785e+01   1.590e+00   1.495e+00   2.855e-02   1.300e-01   3.257e-01   4.118e-01   5.059e-01   5.621e-01
   1.795e+01   1.490e+00   1.593e+00   3.244e-02   1.483e-01   3.211e-01   4.118e-01   5.194e-01   5.895e-01
   1.805e+01   1.367e+00   1.681e+00   3.444e-02   1.873e-01   3.165e-01   4.106e-01   5.384e-01   6.226e-01
   1.815e+01   1.241e+00   1.425e+00   3.836e-02   1.878e-01   3.123e-01   4.079e-01   5.536e-01   6.495e-01
   1.825e+01   1.227e+00   1.222e+00   4.231e-02   2.051e-01   3.087e-01   4.036e-01   5.533e-01   6.542e-01
   1.835e+01   1.201e+00   1.015e+00   4.820e-02   2.101e-01   3.043e-01   3.965e-01   5.305e-01   6.221e-01
   1.845e+01   1.154e+00   7.827e-01   5.993e-02   2.606e-01   3.009e-01   3.876e-01   5.143e-01   5.956e-01
   1.855e+01   1.325e+00   7.734e-01   5.815e-02   2.444e-01   2.987e-01   3.773e-01   4.745e-01   5.374e-01
   1.865e+01   1.327e+00   1.379e+00   7.191e-02   3.471e-01   2.973e-01   3.659e-01   4.707e-01   5.202e-01
   1.875e+01   1.614e+00   3.717e-01   6.625e-02   2.497e-01   2.970e-01   3.545e-01   4.092e-01   4.371e-01
   1.885e+01   1.690e+00   2.666e-01   7.033e-02   2.467e-01   2.973e-01   3.434e-01   3.918e-01   4.056e-01
   1.895e+01   1.800e+00  -2.094e-01   7.444e-02   2.341e-01   2.983e-01   3.333e-01   3.675e-01   3.680e-01
   1.905e+01   1.834e+00   2.740e-01   9.232e-02   3.136e-01   2.996e-01   3.252e-01   3.671e-01   3.580e-01
   1.915e+01   2.117e+00  -3.101e-01   8.665e-02   2.262e-01   3.015e-01   3.190e-01   3.213e-01   3.027e-01
   1.925e+01   2.066e+00   4.351e-01   1.303e-01   4.819e-01   3.033e-01   3.143e-01   3.382e-01   3.145e-01
   1.935e+01   2.327e+00   1.186e-03   1.267e-01   3.746e-01   3.055e-01   3.116e-01   2.993e-01   2.713e-01
   1.944e+01   2.546e+00   3.763e-01   1.707e-01   4.864e-01   3.078e-01   3.102e-01   2.788e-01   2.489e-01
   1.955e+01   2.314e+00   2.608e-01   2.031e-01   6.400e-01   3.100e-01   3.096e-01   3.101e-01   2.781e-01
   1.971e+01   3.003e+00   8.279e-02   1.720e-01   2.977e-01   3.144e-01   3.112e-01   2.236e-01   1.937e-01
