Bin minLgE maxLgE meanLgE Points  fXmax statXmax sysXmax_up sysXmax_low fRMS statRMS sysRMS_up sysRMS_low
0 17.80 17.90 17.850 5476 712.0 1.0 7.6 10.2 58.1 1.3 1.9 1.7
1 17.90 18.00 17.949 4792 720.7 1.1 7.5 10.2 59.0 1.5 2.1 1.8
2 18.00 18.10 18.048 3949 728.6 1.2 7.4 10.2 59.7 1.8 2.2 1.9
3 18.10 18.20 18.147 4095 736.1 1.2 7.3 10.1 59.1 1.6 2.4 2.1
4 18.20 18.30 18.247 3255 742.8 1.3 7.3 9.9 58.0 1.7 2.6 2.2
5 18.30 18.40 18.348 2527 748.0 1.5 7.3 9.7 56.7 2.1 2.3 2.0
6 18.40 18.50 18.447 1933 752.8 1.6 7.3 9.4 54.0 2.1 2.1 1.8
7 18.50 18.60 18.546 1347 755.2 1.8 7.3 9.1 51.2 2.2 1.9 1.7
8 18.60 18.70 18.647 1007 760.8 2.0 7.4 8.8 54.5 2.8 1.7 1.6
9 18.70 18.80 18.748 707 757.2 1.9 7.5 8.5 43.5 2.5 1.6 1.5
10 18.80 18.90 18.847 560 763.2 2.0 7.7 8.1 42.0 2.4 1.4 1.4
11 18.90 19.00 18.949 417 766.0 2.4 7.9 7.8 38.6 2.9 1.4 1.4
12 19.00 19.10 19.048 321 770.1 2.6 8.0 7.6 39.3 3.2 1.3 1.4
13 19.10 19.20 19.147 253 770.7 2.6 8.3 7.3 34.8 3.4 1.3 1.4
14 19.20 19.30 19.249 159 777.2 3.5 8.5 7.2 41.3 5.2 1.3 1.3
15 19.30 19.40 19.347 122 776.3 3.2 8.7 7.1 33.9 4.1 1.3 1.4
16 19.40 19.50 19.441 80 775.7 4.5 8.9 7.0 37.1 5.2 1.3 1.4
17 19.50 19.60 19.550 50 783.7 4.2 9.2 7.0 26.6 5.1 1.5 1.6
18 19.60 21.00 19.731 35 776.2 4.8 9.7 6.9 25.3 4.2 1.6 1.7
