Frac  Err lgE
0.474342  0.0326898 17.85
0.527365  0.0134891 17.95
0.574584  0.0152252 18.05
0.602865  0.0167065 18.15
0.588863  0.0486296 18.25
0.519731  0.0481129 18.35
0.482417 	0.0595204 18.45
0.379124  0.0597239 18.55
0.419223  0.065867  18.65
0.157022  0.0595179 18.75
0.122333  0.0675682 18.85
0.101369  0.0550549 18.95
0.144501 0.0839093  19.05
0.0524582 0.0617818 19.15
0.204431  0.133 19.25
0.0714067 0.110137  19.35
0.0642112 0.179061  19.45
1.74287e-05 0.00351648  19.55
4.6065e-07  0.000246304 19.65
