logE halfwidth J J_low J_up J_sys_low J_sys_up
17.05 0.05 6.341e-14 0.015e-14 0.015e-14 1.9e-14 2.1e-14
17.15 0.05 3.191e-14 0.010e-14 0.010e-14 0.9e-14 1.1e-14
17.25 0.05 1.577e-14 0.006e-14 0.006e-14 0.5e-14 0.5e-14
17.35 0.05 7.643e-15 0.039e-15 0.039e-15 2.3e-15 2.6e-15
17.45 0.05 3.650e-15 0.024e-15 0.024e-15 1.1e-15 1.3e-15
17.55 0.05 1.739e-15 0.015e-15 0.015e-15 0.5e-15 0.6e-15
17.65 0.05 8.32e-16  0.09e-16  0.09e-16  2.4e-16 3.0e-16
17.75 0.05 3.90e-16  0.05e-16  0.05e-16  1.1e-16 1.4e-16
17.85 0.05 1.85e-16  0.03e-16  0.03e-16  0.5e-16 0.7e-16
17.95 0.05 8.88e-17  0.20e-17  0.20e-17  2.5e-17 3.3e-17
18.05 0.05 4.14e-17  0.12e-17  0.12e-17  1.2e-17 1.6e-17
18.15 0.05 1.90e-17  0.07e-17  0.07e-17  0.5e-17 0.7e-17
18.25 0.05 8.47e-18  0.44e-18  0.43e-18  3.4e-18 3.3e-18
18.35 0.05 4.17e-18  0.27e-18  0.28e-18  1.2e-18 1.7e-18
18.45 0.05 1.929e-18 0.007e-18 0.007e-18 0.5e-18 0.7e-18
18.55 0.05 9.041e-19 0.042e-19 0.042e-19 2.0e-19 2.9e-19
18.65 0.05 4.294e-19 0.026e-19 0.026e-19 0.9e-19 1.3e-19
18.75 0.05 2.167e-19 0.016e-19 0.026e-19 0.4e-19 0.6e-19
18.85 0.05 1.226e-19 0.011e-19 0.011e-19 0.2e-19 0.3e-19
18.95 0.05 6.82e-20  0.08e-20  0.08e-20  0.3e-20 1.6e-20 
19.05 0.05 3.79e-20  0.05e-20  0.05e-20  0.7e-20 0.9e-20 
19.15 0.05 2.07e-20  0.03e-20  0.03e-20  0.4e-20 0.5e-20 
19.25 0.05 1.04e-20  0.02e-20  0.02e-20  0.2e-20 0.2e-20 
19.35 0.05 0.53e-20  0.01e-20  0.01e-20  1.3e-21 1.6e-21 
19.45 0.05 2.49e-21  0.08e-21  0.08e-21  0.7e-21 0.9e-21
19.55 0.05 1.25e-21  0.05e-21  0.05e-21  0.3e-21 0.5e-21
19.65 0.05 5.99e-22  0.32e-22  0.32e-22  1.8e-22 2.4e-22
19.75 0.05 1.95e-22  0.17e-22  0.17e-22  0.7e-22 0.9e-22
19.85 0.05 8.1e-23   0.9e-23   1.0e-23   2.8e-23 4.0e-23
19.95 0.05 1.8e-23   0.4e-23   0.5e-23   0.7e-23 1.0e-23
20.05 0.05 5.5e-24   1.8e-24   2.5e-24   2.2e-24 3.3e-24
20.15 0.05 2.9e-24   1.2e-24   1.7e-24   1.2e-24 1.9e-24
