Index lgEmin lgEmax sigmaUp sigmaLow
 0 17.8 17.9 +7.521e+00 -1.014e+01
 1 17.9 18.0 +7.393e+00 -1.010e+01
 2 18.0 18.1 +7.281e+00 -1.004e+01
 3 18.1 18.2 +7.192e+00 -9.930e+00
 4 18.2 18.3 +7.134e+00 -9.771e+00
 5 18.3 18.4 +7.114e+00 -9.557e+00
 6 18.4 18.5 +7.134e+00 -9.292e+00
 7 18.5 18.6 +7.195e+00 -8.988e+00
 8 18.6 18.7 +7.294e+00 -8.649e+00
 9 18.7 18.8 +7.428e+00 -8.297e+00
10 18.8 18.9 +7.585e+00 -7.964e+00
11 18.9 19.0 +7.773e+00 -7.649e+00
12 19.0 19.1 +7.971e+00 -7.389e+00
13 19.1 19.2 +8.183e+00 -7.178e+00
14 19.2 19.3 +8.412e+00 -7.014e+00
15 19.3 19.4 +8.642e+00 -6.900e+00
16 19.4 19.5 +8.870e+00 -6.828e+00
17 19.5 19.6 +9.143e+00 -6.778e+00
18 19.6 21.0 +9.608e+00 -6.755e+00
